query_protein,similar_protein,similarity
P0A9Z7,P62594,0.9721811
P0A9Z7,P62593,0.9721811
P0A9Z7,Q9F663,0.9687394
P0A9Z7,Q93LQ9,0.9687394
P0A9Z7,Q53IN1,0.9539454
P0A9Z7,P76577,0.950089
P0A9Z7,Q9X6W0,0.9438525
P0AA43,P45124,0.9643049
P0AA43,P28861,0.9540583
P0AA43,P0A876,0.95321476
P0AA43,P30012,0.952718
P0AA43,P43912,0.94935024
P0AA43,P25924,0.9472065
P0AA43,Q83LD8,0.9464769
P0AA43,P08373,0.9461244
P0AA43,P60757,0.94535834
P0AA43,P15043,0.9445322
P0AAI5,P0A6R0,0.9719795
P0AAI5,P24630,0.9696448
P0AAI5,P0AB77,0.9646943
P0AAI5,P07097,0.96319276
P0AAI5,P33038,0.96261895
P0AAI5,P0A953,0.9594147
P0AAI5,P0A749,0.9589883
P0AAI5,P0A751,0.9589883
P0AAI5,P0A827,0.95863986
P0AAI5,P80040,0.9574187
P0AAJ3,P11349,0.97153026
P0AAJ3,P0AC47,0.9650053
P0AAJ3,P17596,0.95663154
P0AAJ3,Q72EF4,0.9532449
P0AAJ3,P0ABK9,0.9525523
P0AAJ3,P35558,0.95186245
P0AAJ3,P42321,0.95185196
P0AAJ3,Q3J170,0.95147693
P0AAJ3,P0C0Y7,0.95147693
P0AAJ3,P72181,0.95065916
P0AB71,O75874,0.9729824
P0AB71,P23381,0.9719671
P0AB71,P9WGV3,0.97179055
P0AB71,Q99798,0.97161597
P0AB71,P00966,0.96818316
P0AB71,Q01770,0.966708
P0AB71,Q9ZF99,0.9657699
P0AB71,P31101,0.9643966
P0AB71,P31939,0.9643891
P0AB71,P0AFG8,0.9643663
P0AB74,P45563,0.9694966
P0AB74,Q9F0J6,0.967927
P0AB74,Q9FDN7,0.96768844
P0AB74,P11759,0.96746397
P0AB74,O75891,0.9671536
P0AB74,P15034,0.9670632
P0AB74,Q8P8J2,0.96693856
P0AB74,O87696,0.9662795
P0AB74,P0A6V8,0.9652678
P0AB74,P77150,0.9644718
P0AB77,P04036,0.96478665
P0AB77,P0AAI5,0.9646943
P0AB77,P0A794,0.9642273
P0AB77,P32055,0.9605647
P0AB77,Q3JWH7,0.96046555
P0AB77,P50597,0.959787
P0AB77,P24630,0.9596636
P0AB77,P27302,0.95848155
P0AB77,P61888,0.95822847
P0AB77,P06983,0.9579104
P0AB80,P15034,0.9753748
P0AB80,P12758,0.97106147
P0AB80,P0A1F6,0.96993196
P0AB80,P9WN38,0.9689934
P0AB80,P9WN39,0.9689934
P0AB80,Q8GBW6,0.96684533
P0AB80,P0A759,0.9660388
P0AB80,P0AC41,0.9657198
P0AB80,P0A2K1,0.9648397
P0AB80,P11759,0.9636506
P0AB87,P17169,0.96195894
P0AB87,P0A759,0.96153265
P0AB87,P26276,0.9613117
P0AB87,P22256,0.9600564
P0AB87,P42593,0.95913225
P0AB87,P0A733,0.95826006
P0AB87,O87696,0.9581201
P0AB87,P04391,0.95686114
P0AB87,Q83LD8,0.9565115
P0AB87,O32449,0.956426
P0AB91,Q8ZIV7,0.97894776
P0AB91,P0A7D4,0.9761137
P0AB91,Q83P33,0.9757942
P0AB91,P04079,0.9713904
P0AB91,P0A1P6,0.9651221
P0AB91,Q8ZKF6,0.9638016
P0AB91,P24630,0.96270823
P0AB91,P07650,0.9621651
P0AB91,P0AES6,0.9618229
P0AB91,P0A820,0.96135235
P0ABA0,P0A805,0.9045128
P0ABA0,P0A808,0.9045128
P0ABA0,P0A7J6,0.8910291
P0ABA0,P02925,0.88377196
P0ABA0,P0AE67,0.8828975
P0ABA0,P69441,0.87685585
P0ABA0,P0A6A8,0.87555385
P0ABA0,P0A6B1,0.87555385
P0ABA0,P62219,0.8730788
P0ABA0,P04036,0.87177485
P0ABE7,P00138,0.9380722
P0ABE7,P0AEG4,0.9349049
P0ABE7,P0AFM2,0.9312075
P0ABE7,P0AG82,0.9305209
P0ABE7,P0AEE5,0.92857385
P0ABE7,P23905,0.92839813
P0ABE7,P00282,0.9279249
P0ABE7,P0AEG6,0.92699355
P0ABE7,P21408,0.92691123
P0ABE7,Q47066,0.9262901
P0ABF6,Q51782,0.9647687
P0ABF6,P45510,0.9589088
P0ABF6,P06149,0.95749676
P0ABF6,P07771,0.95500636
P0ABF6,P27505,0.9540529
P0ABF6,P76216,0.95352435
P0ABF6,P32169,0.9522488
P0ABF6,P08192,0.9520905
P0ABF6,Q53IN1,0.9514146
P0ABF6,P25524,0.95127237
P0ABK9,Q54468,0.96414346
P0ABK9,P46883,0.9639469
P0ABK9,Q72EF3,0.9631058
P0ABK9,P81040,0.9591209
P0ABK9,Q9KWT6,0.95717394
P0ABK9,P0AE22,0.9556354
P0ABK9,Q9Z4P0,0.95554185
P0ABK9,P84888,0.9540482
P0ABK9,Q9KWT5,0.9529408
P0ABK9,P0AAJ3,0.9525523
P0ABP8,P0A6R0,0.9631113
P0ABP8,P0A716,0.9624218
P0ABP8,P24630,0.96162707
P0ABP8,P0A2K1,0.96119785
P0ABP8,Q83P33,0.9605731
P0ABP8,P0A7D4,0.9605278
P0ABP8,P0A759,0.9591069
P0ABP8,P0A827,0.95884395
P0ABP8,P04079,0.9580579
P0ABP8,Q9ZF99,0.95739305
P0ABQ0,P45568,0.9767418
P0ABQ0,P0ACC7,0.9687605
P0ABQ0,P06988,0.9678714
P0ABQ0,P25924,0.9676963
P0ABQ0,P77444,0.966071
P0ABQ0,P19624,0.9630399
P0ABQ0,P0AF14,0.9611777
P0ABQ0,P0AF12,0.9611777
P0ABQ0,P31057,0.9610828
P0ABQ0,P0A6J8,0.9603503
P0ABQ4,P33644,0.9479337
P0ABQ4,P30012,0.9467052
P0ABQ4,P26281,0.94417775
P0ABQ4,P08179,0.9431728
P0ABQ4,P14900,0.9402468
P0ABQ4,P08373,0.9397181
P0ABQ4,P25924,0.93964446
P0ABQ4,Q83LD8,0.938915
P0ABQ4,P0AA43,0.9387409
P0ABQ4,P0ACC7,0.93865955
P0AC13,P25924,0.971552
P0AC13,P33644,0.96545863
P0AC13,P45568,0.96473956
P0AC13,P45066,0.9635357
P0AC13,P77444,0.9620954
P0AC13,P44490,0.959885
P0AC13,P0ABQ0,0.95936334
P0AC13,P0A7E1,0.9587366
P0AC13,P43889,0.95840216
P0AC13,P31057,0.9583575
P0AC38,P31013,0.96995825
P0AC38,P31012,0.9695533
P0AC38,Q99707,0.9643526
P0AC38,Q45515,0.96247405
P0AC38,P00966,0.96232015
P0AC38,A0A0H3JRU9,0.96180844
P0AC38,P0AG16,0.9613896
P0AC38,P43886,0.9611723
P0AC38,P11759,0.96061414
P0AC38,P0A789,0.9604211
P0AC41,P00363,0.97960186
P0AC41,P0A759,0.96710265
P0AC41,P0AB80,0.9657198
P0AC41,P0A2K1,0.9642022
P0AC41,P9WGV3,0.9628242
P0AC41,Q9Y3I0,0.96245193
P0AC41,P0A1P6,0.9619993
P0AC41,Q88CZ6,0.96179986
P0AC41,P0A1F6,0.96050644
P0AC41,P12758,0.9588709
P0AC44,P69054,0.9492021
P0AC44,P0A8Q0,0.9389911
P0AC44,P0A6M2,0.92489856
P0AC44,P10620,0.91906834
P0AC44,P0A8Q3,0.9183228
P0AC44,P83791,0.9159086
P0AC44,P11350,0.91521156
P0AC44,O14735,0.9114994
P0AC44,P43457,0.91104895
P0AC44,Q9UM01,0.9070104
P0AC47,P0AAJ3,0.9650053
P0AC47,Q70AC7,0.9592323
P0AC47,P11349,0.955683
P0AC47,B7JBP8,0.9545984
P0AC47,P94692,0.9544189
P0AC47,P0AFG8,0.9539037
P0AC47,P13981,0.9531017
P0AC47,P09373,0.9520905
P0AC47,A0A0H3K1U2,0.9513608
P0AC47,Q9Y3I0,0.95078933
P0ACB2,P0A2K1,0.9708254
P0ACB2,Q59334,0.9693903
P0ACB2,P22256,0.9661026
P0ACB2,Q55793,0.9632094
P0ACB2,Q9JZW6,0.9593204
P0ACB2,P28720,0.95906615
P0ACB2,P0A789,0.95815706
P0ACB2,P77444,0.95740926
P0ACB2,P69772,0.9572547
P0ACB2,P0AB80,0.9568043
P0ACC1,Q46893,0.9595361
P0ACC1,P45568,0.9584645
P0ACC1,P17802,0.95783323
P0ACC1,P12998,0.9568304
P0ACC1,P00909,0.9551898
P0ACC1,P14900,0.9538971
P0ACC1,P19624,0.95356435
P0ACC1,P16384,0.9521613
P0ACC1,P08373,0.95151186
P0ACC1,P0A6I9,0.95141506
P0ACC7,P43889,0.9856219
P0ACC7,P0A6J8,0.9727863
P0ACC7,P0ABQ0,0.9687605
P0ACC7,P31057,0.9663168
P0ACC7,P04036,0.96599245
P0ACC7,P09147,0.9655326
P0ACC7,P06988,0.9633951
P0ACC7,P05020,0.96300197
P0ACC7,P0A6D3,0.9628682
P0ACC7,P06983,0.96159637
P0ACJ8,Q6FEW8,0.9569443
P0ACJ8,P43985,0.9512101
P0ACJ8,P0A6I3,0.9487518
P0ACJ8,P0AG16,0.9441911
P0ACJ8,P52045,0.94375724
P0ACJ8,P0A8V6,0.9416684
P0ACJ8,P0A8V9,0.9416684
P0ACJ8,Q9A1B7,0.9415774
P0ACJ8,P0A6V8,0.9413798
P0ACJ8,P31677,0.9408984
P0AD63,P0AD64,0.99999976
P0AD63,P0A9Z7,0.9999271
P0AD63,P18251,0.9912404
P0AD63,P62593,0.97141755
P0AD63,P62594,0.97141755
P0AD63,Q9F663,0.96893406
P0AD63,Q93LQ9,0.96893406
P0AD63,Q53IN1,0.95367026
P0AD63,P76577,0.9487338
P0AD63,Q9X6W0,0.943941
P0AD64,P0AD63,0.99999976
P0AD64,P0A9Z7,0.9999271
P0AD64,P18251,0.9912404
P0AD64,P62593,0.97141755
P0AD64,P62594,0.97141755
P0AD64,Q9F663,0.96893406
P0AD64,Q93LQ9,0.96893406
P0AD64,Q53IN1,0.95367026
P0AD64,P76577,0.9487338
P0AD64,Q9X6W0,0.943941
P0AD65,P44469,0.98549694
P0AD65,Q9X6V3,0.984226
P0AD65,P08149,0.97600174
P0AD65,P02918,0.97415614
P0AD65,Q07806,0.9728042
P0AD65,P0AD69,0.9704939
P0AD65,P0AD68,0.9704939
P0AD65,Q51504,0.96401143
P0AD65,P0AFI5,0.9564464
P0AD65,P0AEB2,0.9516187
P0AD68,P0AD69,0.99999994
P0AD68,P08149,0.9883003
P0AD68,Q51504,0.9785406
P0AD68,P0AD65,0.9704939
P0AD68,P02918,0.9696491
P0AD68,P45059,0.9690634
P0AD68,Q60FT7,0.9682939
P0AD68,Q07806,0.9640609
P0AD68,P44469,0.96313983
P0AD68,P24228,0.9575925
P0AD69,P0AD68,0.99999994
P0AD69,P08149,0.9883003
P0AD69,Q51504,0.9785406
P0AD69,P0AD65,0.9704939
P0AD69,P02918,0.9696491
P0AD69,P45059,0.9690634
P0AD69,Q60FT7,0.9682939
P0AD69,Q07806,0.9640609
P0AD69,P44469,0.96313983
P0AD69,P24228,0.9575925
P0ADA1,P0A753,0.9318756
P0ADA1,P00811,0.9301051
P0ADA1,P52664,0.92728764
P0ADA1,P0A9D2,0.92625904
P0ADA1,P0AD64,0.92597985
P0ADA1,P0AD63,0.92597985
P0ADA1,P14532,0.9257046
P0ADA1,P0A9Z7,0.9248706
P0ADA1,Q47066,0.9241296
P0ADA1,Q9KU37,0.9229413
P0ADY7,P80376,0.952775
P0ADY7,Q8GBW6,0.94693357
P0ADY7,Q59334,0.9466546
P0ADY7,Q5SHQ5,0.9466275
P0ADY7,P0A7U3,0.94364774
P0ADY7,P72524,0.94293326
P0ADY7,P80374,0.94153404
P0ADY7,Q59192,0.9415009
P0ADY7,P62660,0.9414444
P0ADY7,Q5SHP2,0.9414444
P0AE12,Q9ZEU2,0.9643306
P0AE12,P13981,0.9640762
P0AE12,P0A6W9,0.9640597
P0AE12,Q16822,0.9626597
P0AE12,Q51782,0.9624152
P0AE12,P12851,0.9617976
P0AE12,P15587,0.9617156
P0AE12,P24300,0.960132
P0AE12,P06149,0.9598056
P0AE12,P46881,0.9593109
P0AE18,P04079,0.9628304
P0AE18,P0A759,0.96248233
P0AE18,Q59334,0.9605442
P0AE18,P23526,0.9603343
P0AE18,P44725,0.95741874
P0AE18,P0A7D4,0.95567125
P0AE18,Q83P33,0.955606
P0AE18,P0A716,0.9529686
P0AE18,P0ABP8,0.9526392
P0AE18,Q8ZIV7,0.9526193
P0AE22,Q54468,0.95822155
P0AE22,Q7WUJ1,0.9561773
P0AE22,P0ABK9,0.9556354
P0AE22,P06875,0.95014304
P0AE22,P46883,0.9491481
P0AE22,P13650,0.94874847
P0AE22,Q89ZI2,0.9484588
P0AE22,Q59288,0.94580084
P0AE22,P24228,0.94500303
P0AE22,P09152,0.944811
P0AE67,Q59560,0.9405272
P0AE67,P62219,0.9393384
P0AE67,P69441,0.9319013
P0AE67,P00582,0.9315881
P0AE67,P30085,0.9315406
P0AE67,P03007,0.930276
P0AE67,P0A9P4,0.92732996
P0AE67,P32119,0.92710185
P0AE67,P84139,0.92525995
P0AE67,P0AES6,0.92512006
P0AEB2,P0AEB3,1.0000004
P0AEB2,P08506,0.9888604
P0AEB2,P0AFK9,0.9666233
P0AEB2,Q88K39,0.9627767
P0AEB2,P06202,0.96249354
P0AEB2,P0AFI5,0.9612705
P0AEB2,Q8Z2X8,0.9609689
P0AEB2,P02918,0.96082467
P0AEB2,Q07806,0.9580512
P0AEB2,P0AEG4,0.95660496
P0AEB3,P0AEB2,1.0000004
P0AEB3,P08506,0.9888604
P0AEB3,P0AFK9,0.9666233
P0AEB3,Q88K39,0.9627767
P0AEB3,P06202,0.96249354
P0AEB3,P0AFI5,0.9612705
P0AEB3,Q8Z2X8,0.9609689
P0AEB3,P02918,0.96082467
P0AEB3,Q07806,0.9580512
P0AEB3,P0AEG4,0.95660496
P0AEE5,P23905,0.99847734
P0AEE5,P0AFM2,0.96981823
P0AEE5,P0AFK9,0.95938754
P0AEE5,P39265,0.95917016
P0AEE5,P0AEX9,0.9559847
P0AEE5,P06202,0.9542992
P0AEE5,P0AEG4,0.9541427
P0AEE5,P00805,0.95391035
P0AEE5,Q8Z2X8,0.95334697
P0AEE5,P0AEB3,0.95124394
P0AEG4,P0AEG6,0.9673964
P0AEG4,P0AFK9,0.96320647
P0AEG4,P0AEX9,0.9578475
P0AEG4,P31133,0.95774
P0AEG4,P23905,0.9568702
P0AEG4,P0AFM2,0.9566912
P0AEG4,P0AEB3,0.95660496
P0AEG4,P0AEB2,0.95660496
P0AEG4,P08506,0.9555459
P0AEG4,P39265,0.9549657
P0AEG6,P0AEG4,0.9673964
P0AEG6,P0AEB3,0.9487138
P0AEG6,P0AEB2,0.9487138
P0AEG6,P08506,0.94824404
P0AEG6,P0AFK9,0.9444333
P0AEG6,P31133,0.9444328
P0AEG6,Q8Z2X8,0.94258195
P0AEG6,P39265,0.9423772
P0AEG6,P0AFM2,0.9416361
P0AEG6,Q88K39,0.9413117
P0AEK4,P24630,0.9649455
P0AEK4,P0A6R0,0.96482664
P0AEK4,P80040,0.9617703
P0AEK4,Q9ZF99,0.961177
P0AEK4,P22256,0.9593756
P0AEK4,P0ABP8,0.95705557
P0AEK4,P0A7Z3,0.9560639
P0AEK4,P0A759,0.95541906
P0AEK4,P0AAI5,0.9546536
P0AEK4,Q83P33,0.9542877
P0AEK7,O67854,0.9555938
P0AEK7,P17413,0.94936085
P0AEK7,Q9UPY5,0.94690704
P0AEK7,Q8WW43,0.94113564
P0AEK7,Q9UN76,0.9408386
P0AEK7,P11350,0.94051003
P0AEK7,O95470,0.9399716
P0AEK7,P35610,0.939947
P0AEK7,Q9Y487,0.9392133
P0AEK7,P0A6M2,0.93807596
P0AES2,P36683,0.96647006
P0AES2,O66145,0.9657973
P0AES2,P69923,0.95675254
P0AES2,P13981,0.9551994
P0AES2,P53396,0.9516971
P0AES2,P32169,0.9497086
P0AES2,P27505,0.9484778
P0AES2,Q9AGP8,0.9483744
P0AES2,B7JBP8,0.9479126
P0AES2,P06149,0.9478961
P0AES4,P43700,0.97379166
P0AES4,P0AES6,0.97194517
P0AES4,Q8ZIV7,0.9681214
P0AES4,P62623,0.9655872
P0AES4,Q83P33,0.96534574
P0AES4,P0A7D4,0.96508455
P0AES4,P04079,0.9612709
P0AES4,P62219,0.9601616
P0AES4,P00582,0.95996135
P0AES4,Q9HTN2,0.9588836
P0AES6,P0AES4,0.97194517
P0AES6,P00582,0.9659577
P0AES6,P00959,0.9631145
P0AES6,Q8ZIV7,0.96270525
P0AES6,P0AB91,0.9618229
P0AES6,P43700,0.9595711
P0AES6,P62219,0.95947444
P0AES6,Q59560,0.959049
P0AES6,P04079,0.9582285
P0AES6,P0A9P4,0.9579235
P0AET8,P0A9D2,0.9425696
P0AET8,Q8VP84,0.94109225
P0AET8,Q59931,0.94021934
P0AET8,P45563,0.93924606
P0AET8,P45314,0.9389379
P0AET8,P0A6L6,0.938815
P0AET8,Q48436,0.9368319
P0AET8,P0A9J6,0.93361425
P0AET8,P77150,0.93350124
P0AET8,P03023,0.9334394
P0AEX9,P0AFM2,0.9657887
P0AEX9,P0AEG4,0.9578475
P0AEX9,P23905,0.9566617
P0AEX9,P0AFK9,0.95664513
P0AEX9,P0AEE5,0.9559847
P0AEX9,Q9Z4N6,0.95486
P0AEX9,P31133,0.95344055
P0AEX9,P21408,0.9514003
P0AEX9,P39265,0.95056635
P0AEX9,P00634,0.94560933
P0AEZ1,P31677,0.9613199
P0AEZ1,P0A9M5,0.955468
P0AEZ1,P0A6V8,0.94984186
P0AEZ1,P0A6I3,0.94954103
P0AEZ1,P11759,0.9471854
P0AEZ1,P96965,0.9455792
P0AEZ1,P39662,0.94539976
P0AEZ1,Q9L6V3,0.9445828
P0AEZ1,P0AGG2,0.94417584
P0AEZ1,Q9F0J6,0.9408113
P0AF12,P0AF14,1.0000001
P0AF12,Q9KPI8,0.9887072
P0AF12,P0ABQ0,0.9611777
P0AF12,P06986,0.9609474
P0AF12,P25924,0.9569979
P0AF12,P26392,0.9561945
P0AF12,P0A6J8,0.9534346
P0AF12,P00509,0.95329577
P0AF12,P00909,0.95299214
P0AF12,P0ACC7,0.95176834
P0AF14,P0AF12,1.0000001
P0AF14,Q9KPI8,0.9887072
P0AF14,P0ABQ0,0.9611777
P0AF14,P06986,0.9609474
P0AF14,P25924,0.9569979
P0AF14,P26392,0.9561945
P0AF14,P0A6J8,0.9534346
P0AF14,P00509,0.95329577
P0AF14,P00909,0.95299214
P0AF14,P0ACC7,0.95176834
P0AF93,P69441,0.92960614
P0AF93,P14218,0.92583656
P0AF93,P18925,0.9230497
P0AF93,P0A9B2,0.9222583
P0AF93,P0A827,0.92217046
P0AF93,P07097,0.91816264
P0AF93,P00362,0.9175888
P0AF93,P11998,0.9156973
P0AF93,P60174,0.91308343
P0AF93,P27302,0.9123631
P0AFG8,P94692,0.9810686
P0AFG8,P41020,0.97724843
P0AFG8,Q70AC7,0.9724989
P0AFG8,Q88CZ6,0.9722104
P0AFG8,P9WN38,0.9716046
P0AFG8,P9WN39,0.9716046
P0AFG8,P9WKK7,0.9709152
P0AFG8,P31013,0.97071075
P0AFG8,P35558,0.97007924
P0AFG8,P31012,0.96984684
P0AFI2,P43702,0.9897121
P0AFI2,P19480,0.95862633
P0AFI2,P35340,0.95752525
P0AFI2,P00959,0.95675933
P0AFI2,P95468,0.95655835
P0AFI2,P09546,0.956118
P0AFI2,P04825,0.9555415
P0AFI2,P40871,0.95521456
P0AFI2,P42593,0.95477605
P0AFI2,P0AES6,0.9543632
P0AFI5,P02918,0.9615568
P0AFI5,P0AEB2,0.9612705
P0AFI5,P0AEB3,0.9612705
P0AFI5,P08506,0.9575075
P0AFI5,P0AD65,0.9564464
P0AFI5,P08149,0.95626795
P0AFI5,Q07806,0.95575404
P0AFI5,Q88K39,0.9552476
P0AFI5,Q8Z2X8,0.9519274
P0AFI5,P41052,0.9516423
P0AFI7,P43912,0.94394505
P0AFI7,P0A876,0.9437436
P0AFI7,P60757,0.9427159
P0AFI7,P17169,0.9424242
P0AFI7,P25924,0.9404954
P0AFI7,P26397,0.9401181
P0AFI7,P40871,0.9383379
P0AFI7,P77444,0.9381423
P0AFI7,P10902,0.9381064
P0AFI7,P43985,0.938025
P0AFK9,P31133,0.9674314
P0AFK9,P0AEB2,0.9666233
P0AFK9,P0AEB3,0.9666233
P0AFK9,Q8Z2X8,0.96478784
P0AFK9,P08506,0.96443415
P0AFK9,P0AEG4,0.96320647
P0AFK9,P0AFM2,0.96209425
P0AFK9,P06202,0.961501
P0AFK9,P23905,0.960483
P0AFK9,P0AEE5,0.95938754
P0AFL3,P0A8X2,0.9284226
P0AFL3,P02925,0.92599
P0AFL3,P00805,0.9118436
P0AFL3,P0AG82,0.9092079
P0AFL3,P00282,0.898679
P0AFL3,P0AEE5,0.8950019
P0AFL3,P21408,0.8942107
P0AFL3,Q47066,0.894006
P0AFL3,P31133,0.889894
P0AFL3,P23905,0.88729495
P0AFM2,P0AEE5,0.96981823
P0AFM2,P23905,0.96890235
P0AFM2,P06202,0.96607554
P0AFM2,P0AEX9,0.9657887
P0AFM2,P31133,0.9640261
P0AFM2,P0AFK9,0.96209425
P0AFM2,Q9Z4N6,0.9572345
P0AFM2,P0AEG4,0.9566912
P0AFM2,P00805,0.95547354
P0AFM2,Q8Z2X8,0.95384955
P0AFU8,P43912,0.9534198
P0AFU8,P28861,0.95175904
P0AFU8,P0A876,0.95082796
P0AFU8,P60757,0.9460827
P0AFU8,P0A789,0.9432236
P0AFU8,P25524,0.943159
P0AFU8,P11759,0.9428725
P0AFU8,P0AA43,0.94237185
P0AFU8,P0AF12,0.94185996
P0AFU8,P0AF14,0.94185996
P0AG16,P13981,0.96765804
P0AG16,P31013,0.96626276
P0AG16,P31012,0.9661309
P0AG16,P11217,0.96551573
P0AG16,P11216,0.96531254
P0AG16,P11759,0.96507645
P0AG16,Q5LI27,0.96481013
P0AG16,Q9Y3I0,0.9644853
P0AG16,P17812,0.96404326
P0AG16,P0A6I3,0.96392775
P0AG59,P0A7X3,0.93253475
P0AG59,P0A7V3,0.9239824
P0AG59,P0A7W7,0.92283034
P0AG59,P0DOY6,0.9216418
P0AG59,P0A7S9,0.919029
P0AG59,P69441,0.91708994
P0AG59,P0A7V8,0.91697884
P0AG59,Q59560,0.9168111
P0AG59,P60723,0.91605175
P0AG59,P62219,0.9153096
P0AG82,P31133,0.965694
P0AG82,Q9Z4N6,0.9655051
P0AG82,P00805,0.9535334
P0AG82,P00282,0.9531673
P0AG82,P0AFM2,0.9508953
P0AG82,P0A8X2,0.9491267
P0AG82,P0AEG4,0.9479033
P0AG82,P39265,0.9459075
P0AG82,P06202,0.9452861
P0AG82,P0AEX9,0.9445524
P0AGC3,P02919,0.9683819
P0AGC3,P24228,0.95219314
P0AGC3,P02918,0.947906
P0AGC3,P41052,0.94737196
P0AGC3,P08149,0.9459264
P0AGC3,P0AD68,0.9404323
P0AGC3,P0AD69,0.9404323
P0AGC3,P76577,0.93991697
P0AGC3,P0ABK9,0.93987805
P0AGC3,Q54468,0.93911886
P0AGE0,P06576,0.83778256
P0AGE0,P0DMV8,0.83656085
P0AGE0,P0DMV9,0.83656085
P0AGE0,P54652,0.8326199
P0AGE0,Q59560,0.83083946
P0AGE0,P60723,0.82920986
P0AGE0,P44345,0.8286435
P0AGE0,P02929,0.8262644
P0AGE0,P62219,0.82564485
P0AGE0,Q9HZZ3,0.818384
P0AGG2,P15034,0.9706498
P0AGG2,P37610,0.9685878
P0AGG2,P0A6V8,0.9670512
P0AGG2,P04825,0.9644987
P0AGG2,P9WN39,0.9633682
P0AGG2,P9WN38,0.9633682
P0AGG2,P0A789,0.9631939
P0AGG2,Q9FDN7,0.9631456
P0AGG2,P0AB80,0.9624003
P0AGG2,P96965,0.9623238
P0AGJ9,P00509,0.96410716
P0AGJ9,P18843,0.96400285
P0AGJ9,P04391,0.9639871
P0AGJ9,P0A8M5,0.96376884
P0AGJ9,P04825,0.9631853
P0AGJ9,P0A789,0.9623134
P0AGJ9,P0A6L0,0.9615909
P0AGJ9,O34002,0.96127856
P0AGJ9,P24232,0.96112895
P0AGJ9,P00959,0.95992994
P0C002,Q49184,0.9994823
P0C002,Q60099,0.95599425
P0C002,Q9ZIV5,0.95588744
P0C002,Q3IWB0,0.95564485
P0C002,Q53464,0.9554149
P0C002,P27017,0.952828
P0C002,P11444,0.9525905
P0C002,Q8KI25,0.9508879
P0C002,Q9RZ04,0.9503076
P0C002,Q9X2W8,0.94940466
P0C0F4,P37747,0.95637494
P0C0F4,O24990,0.9509598
P0C0F4,A0A0H3JRU9,0.9498827
P0C0F4,P43985,0.94853306
P0C0F4,P26397,0.94812703
P0C0F4,P65389,0.94728935
P0C0F4,P43886,0.9461191
P0C0F4,Q5HEB7,0.94402814
P0C0F4,Q99707,0.94367015
P0C0F4,P48163,0.94337535
P0C0H6,P04079,0.9710759
P0C0H6,P0A4L9,0.9688338
P0C0H6,Q59334,0.9681951
P0C0H6,P44725,0.9665068
P0C0H6,P9WGV3,0.9656112
P0C0H6,P0A2K1,0.96488386
P0C0H6,P05653,0.96432614
P0C0H6,P0A0K8,0.96286595
P0C0H6,P23526,0.9627992
P0C0H6,P0A7D4,0.9622508
P0C0J0,P36924,0.97074014
P0C0J0,P14262,0.97014093
P0C0J0,Q53591,0.96994877
P0C0J0,Q54873,0.9676502
P0C0J0,P34024,0.96476674
P0C0J0,P09598,0.9645009
P0C0J0,Q8XL08,0.96253604
P0C0J0,P94622,0.960314
P0C0J0,P19424,0.95940876
P0C0J0,P05655,0.95770574
P0C0L5,P20701,0.9827032
P0C0L5,P19827,0.9753725
P0C0L5,Q14624,0.97461474
P0C0L5,P19823,0.9743738
P0C0L5,P13612,0.97094566
P0C0L5,Q99542,0.9705126
P0C0L5,Q9UNA0,0.96998775
P0C0L5,P08514,0.96799076
P0C0L5,P07358,0.9663683
P0C0L5,P01031,0.96603155
P0C0T5,P19926,0.94320476
P0C0T5,P24228,0.9425785
P0C0T5,P00811,0.94152176
P0C0T5,P41052,0.94140154
P0C0T5,P0ABK9,0.9400047
P0C0T5,P05364,0.93976116
P0C0T5,Q54468,0.93701947
P0C0T5,P0AE22,0.93647
P0C0T5,Q9I596,0.93534064
P0C0T5,P02919,0.93481624
P0C0X1,P9WIL5,0.9775568
P0C0X1,Q9L888,0.97260916
P0C0X1,P9WP01,0.9710009
P0C0X1,P9WPQ5,0.97049415
P0C0X1,P0C0X2,0.9691755
P0C0X1,P9WJ63,0.968247
P0C0X1,P9WKE9,0.9653822
P0C0X1,P9WKE1,0.9592873
P0C0X1,P9WPE1,0.9581827
P0C0X1,P9WK83,0.9575215
P0C0X2,P9WQ77,0.9702257
P0C0X2,P0C0X1,0.9691755
P0C0X2,Q9L888,0.9670311
P0C0X2,P9WK83,0.96366096
P0C0X2,P9WPQ5,0.9618039
P0C0X2,P9WP01,0.9612688
P0C0X2,Q47Q21,0.96114385
P0C0X2,Q44244,0.9587733
P0C0X2,P9WIL5,0.9571203
P0C0X2,Q9F6D4,0.9552182
P0C0X8,P00091,0.9434775
P0C0X8,Q52369,0.93531954
P0C0X8,P04377,0.9320666
P0C0X8,P0AG82,0.92871344
P0C0X8,P83223,0.9220865
P0C0X8,P54820,0.91961974
P0C0X8,P83787,0.9178436
P0C0X8,Q9Z4N6,0.91185987
P0C0X8,P31101,0.911825
P0C0X8,P31133,0.9116127
P0C0Y7,Q3J170,0.9999996
P0C0Y7,Q93RD8,0.99080515
P0C0Y7,P06008,0.9894167
P0C0Y7,Q57366,0.96170837
P0C0Y7,P46881,0.96166
P0C0Y7,P25006,0.9614506
P0C0Y7,P72181,0.9597062
P0C0Y7,Q9I596,0.95884293
P0C0Y7,P11349,0.95814705
P0C0Y7,P29422,0.9559141
