drug,smiles,name
DB14619, ,Influenza A virus A/Uruguay/716/2007(H3N2) antigen (propiolactone inactivated)
DB15949,[H][C@]12CN3CCC4=C(NC5=CC=CC=C45)[C@]3([H])C[C@]1([H])C(=CO[C@H]2C)C(=O)OC,Raubasine
DB02630,OC[C@@H](O)[C@H](O)[C@@H](O)COP(O)(O)=O,L-xylitol 5-phosphate
DB03962,[H]N([H])C(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](COP([O-])(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](OP(O)(O)=O)[C@@H]2O)N2C(Br)=NC3=C(N=CN=C23)N([H])[H])[C@@H](O)[C@H]1O,Nicotinamide 8-bromo-adenine dinucleotide phosphate
DB03963,[H][C@](N)(CS[As](C)C)C(O)=O,S-(Dimethylarsenic)Cysteine
DB03964,[H]\C(C([O-])=O)=C(/C([O-])=O)[C@@]([H])(O)C([O-])=O,4-Hydroxy-Aconitate Ion
DB01303,C[N+](C)(C)CCO.CN1C2=C([N-]C=N2)C(=O)N(C)C1=O,Oxtriphylline
DB02633,NC1=C(C=C(NC2=CC=C(NC3=NC(Cl)=NC(NC4=CC=CC=C4S(O)(=O)=O)=N3)C(=C2)S(O)(=O)=O)C2=C1C(=O)C1=CC=CC=C1C2=O)S(O)(=O)=O,Cibacron Blue
DB01301,[H][C@@]12C[C@@]3([H])C(C(=O)C4=C(O)C=CC=C4[C@@]3(C)O)=C(O)[C@]1(O)C(=O)C(C(=O)NCN1CCCC1)=C(O)[C@H]2N(C)C,Rolitetracycline
DB02632,OC[C@H]1O[C@@H](OC2=CC=C(C=C2)[N+]([O-])=O)[C@H](O)[C@@H](O)[C@H]1O,4-nitrophenyl-beta-D-galactoside
DB03960,[H][C@@]1(CC2CCCC2)NC(=CN2C(=O)[C@](CC3=CC=C(O)C=C3)(OO)N=C12)C1=CC=C(O)C=C1,Cp-Coeleneterazine
DB03961,[H][C@@]1(O)COP(O)(=O)OP(O)(=O)O[C@@]1(C)CO,"2c-Methyl-D-Erythritol 2,4-Cyclodiphosphate"
DB01307, ,Insulin detemir
DB02638, ,Terlipressin
DB01306, ,Insulin aspart
DB02637,OC(=O)C(=O)CC([O-])=O,Oxaloacetate Ion
DB02636,COC1=C(O)C=CC2=C1C=C(C1=C2C2=C(OCO2)C=C1C(O)=O)[N+]([O-])=O,"9-Hydroxy-8-Methoxy-6-Nitro-Phenanthrol[3,4-D][1,3]Dioxole-5-Carboxylic Acid"
DB02635,[H][C@](C)(CC)[C@@]([H])(NCC1=C(COP(O)(O)=O)C=NC(C)=C1O)C(O)=O,N-[O-Phosphono-Pyridoxyl]-Isoleucine
DB03966,CO[C@@H]1[C@@H](OC(=O)C2=CC=C(C)N2)[C@@H](O)[C@H](OC2=C(Cl)C3=C(C=C2)C(O)=C(NC(=O)C2=CC(CC=C(C)C)=C(O)C=C2)C(=O)O3)OC1(C)C,Clorobiocin
DB03967,CCCCCCCCCCCCOS(O)(=O)=O,Dodecyl sulfate
DB01309, ,Insulin glulisine
DB03968,CN1C(=O)CCC1(C)C,"1-Methyl-2-Oxy-5,5-Dimethyl Pyrrolidine"
DB02639,CC1=CC(=O)OC2=C1C=CC(O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)=C2,7-(alpha-D-Glucopyranosyloxy)-4-methyl-2H-1-benzopyran-2-one
DB15951,[Na+].[Na+].[O-]S(=O)(=O)C1=CC=C2NC3=CC4=NC5=CC(=CC=C5NC4=CC3=NC2=C1)S([O-])(=O)=O,Azapentacene
DB14620, ,Influenza A virus A/Brisbane/59/2007(H1N1) antigen (propiolactone inactivated)
DB15950,[Na+].[H][C@]12CC[C@@](CS([O-])(=O)=O)(C(=O)C1)C2(C)C,Sodium camphorsulfonate
DB14623,CC(Cl)=O,Acetyl chloride
DB15955,CC(C)=CCC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CCC(C)=O,Teprenone
DB14624,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@@H]2OS(O)(=O)=O,Nandrolone hydrogen sulfate
DB15954,[H][C@]12C[C@@]3([H])C4=CCO[C@@]5([H])CC(=O)N6C7=CC=CC=C7[C@@]1(CCN2C4)[C@]6([H])[C@@]35[H],Strychnine
DB15953,CCCCCCCCCCCCCCCCCCO,Stearyl alcohol
DB14622,O.O.O.O.O.O.O.O.O.O.O.O.[Na+].[Na+].[Na+].[O-]P([O-])([O-])=O,Sodium phosphate tribasic dodecahydrate
DB15952,[Na+].[O-][N+]([O-])=O,Sodium nitrate
DB14627,CC(=O)OC1=CC=C(C=C1)C1(C(=O)NC2=CC=CC=C12)C1=CC=C(OC(C)=O)C=C1,Oxyphenisatin acetate
DB15959,[H][C@@]12CN(C[C@]1([H])[C@@H]1CC[C@H]2C1)NC(=O)C1=CC=C(Cl)C(=C1)S(N)(=O)=O,Tripamide
DB14628,ClC1=NS(=O)(=O)C2=CC=CC=C12,Pseudosaccharin chloride
DB15958,C\C(N(CC1=C(N)N=C(C)N=C1)C=O)=C(/CCO)SS\C(CCO)=C(\C)N(CC1=C(N)N=C(C)N=C1)C=O,Thiamine disulfide
DB14625,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3C(=O)C[C@]2(C)[C@@]1(O)C(=O)COC(C)=O,Meprednisone acetate
DB15957,CC(=O)OC(C)(C)C1CCC(C)=CC1,Terpinyl acetate
DB14626,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@H](CC[C@]12C)OC(C)=O,Pregnenolone acetate
DB15956,CC1=CCC(CC1)C(C)(C)O,Terpineol
DB14629,CC(=O)OCC(F)(F)F,Trifluoroethyl acetate
DB02641,CCCCCCC(N)=O,Heptanamide
DB03973,[H]N1C2=C(N(CCCOP(O)(O)=O)C(=O)N2C[C@@H](O)[C@@H](O)[C@H](O)CO)C(=O)N([H])C1=O,"3-[2,6,8-Trioxo-9-[(2R,3R,4R)-2,3,4,5-tetrahydroxypentyl]-3H-purin-7-yl]propyl dihydrogen phosphate"
DB02640,CO[C@@H]1[C@@H](CC[C@]2(CO2)[C@H]1[C@@]1(C)O[C@@H]1CC=C(C)C)OC(=O)\C=C\C=C\C=C\C=C\C(O)=O,Fumagillin
DB03974,N[C@@H](CCCCNC(N)=N)C(O)=O,L-homoarginine
DB03975,OC(=O)C1=CC=C([Hg])C=C1,Mercuribenzoic Acid
DB03976,CC(C)OP(O)(O)=O,Phosphorylisopropane
DB02645,[H][C@]1(CCO[C@@]2([H])O[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]2([H])O)CO1,"3,4-Epoxybutyl-Alpha-D-Glucopyranoside"
DB02644,[H]N([H])[C@@H](CCCN([H])C(\N([H])[H])=[N+](/[H])CCC)C(O)=O,N-omega-propyl-L-arginine
DB03970,[H][C@]1(SCC(=NC=C1C(O)=O)C(O)=O)C1=CN2C(SC3=C2CCC3)=N1,"(7R)-7-(6,7-Dihydro-5H-cyclopenta[d]imidazo[2,1-b][1,3]thiazol-2-yl)-2,7-dihydro-1,4-thiazepine-3,6-dicarboxylic acid"
DB02643,CCCCCCCCCCCC[N+](C)(C)CCCS(O)(=O)=O,"N-Dodecyl-N,N-Dimethyl-3-Ammonio-1-Propanesulfonate"
DB03971,[H][C@]1(C)O[C@]([H])(O[C@]2([H])[C@@]([H])(CO)O[C@]([H])(OC[C@@]3([H])O[C@@]([H])(O)[C@]([H])(O)[C@@]([H])(O)[C@]3([H])O)[C@]([H])(O)[C@@]2([H])O)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])N[C@@]1([H])C=C(CO)[C@@]([H])(O[C@@]2([H])O[C@]([H])(CO)[C@@]([H])(O[C@@]3([H])O[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]3([H])O)[C@]([H])(O)[C@@]2([H])O)[C@]([H])(O)[C@@]1([H])O,Acarbose Derived Hexasaccharide
DB02642,OP(O)(=O)CNC(=O)OCC1=CC=CC=C1,[[N-(Benzyloxycarbonyl)Amino]Methyl]Phosphate
DB03972,[H][C@]1(N)OC2=CC=CC=C2[C@]([H])(O)S1,"2-Amino-4h-1,3-Benzoxathiin-4-Ol"
DB02649,NC(=O)CC(O)=O,3-Amino-3-Oxopropanoic Acid
DB02648,C[N+](C)(C)C[C@H](O)CC(O)=O,(3-Carboxy-2-(R)-Hydroxy-Propyl)-Trimethyl-Ammonium
DB02647,O=C(NC1=CC(=NN1)C1CC1)C1=CC=CC=C1,N-(5-Cyclopropyl-1h-Pyrazol-3-Yl)Benzamide
DB02646,CCN=O,Nitrosoethane
DB03977,C[N+](C)(C)CCCC[C@H](N)C(O)=O,Trimethyllysine
DB03978,[H][C@](N)(CC1=CC=C(O)C=C1)C=O,Tyrosinal
DB03979,[H]C(O)(CO)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCC[C@@]1([H])C[C@@]1([H])CCCCCC,1-[Glycerolylphosphonyl]-2-[8-(2-Hexyl-Cyclopropyl)-Octanal-1-Yl]-3-[Hexadecanal-1-Yl]-Glycerol
DB01319,CC(C)CN(C[C@@H](OP(O)(O)=O)[C@H](CC1=CC=CC=C1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)C1=CC=C(N)C=C1,Fosamprenavir
DB14630,NCCC1=CC=C(OS(O)(=O)=O)C=C1,Tyramine O-sulfate
DB15962,F[Ca]F,Calcium fluoride
DB13300,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)C3=CCC=CC3)C(=O)N2[C@H]1C(O)=O,Epicillin
DB14631,[H][C@@]12CC[C@](O)(C(=O)COP(O)(O)=O)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,Prednisolone phosphate
DB15961,I[Zn]I,Zinc iodide
DB15960,ClN1C(=O)NC(=O)N(Cl)C1=O,Troclosene
DB13303,CCCCOCC(CN1C(=O)NC(=O)C(CC)(C1=O)C1=CC=CC=C1)OC(N)=O,Febarbamate
DB14634,[H][C@@]12CC(=C)[C@](O)(C(=O)COC(C)=O)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,Fluprednidene acetate
DB15966, ,Influenza virus type B
DB13304,O=C1C=C(N2CC2)C(=O)C(N2CC2)=C1N1CC1,Triaziquone
DB14635,COC1=CC(\C=C\C(=O)CC(=O)\C=C\C2=CC=C(OS(O)(=O)=O)C(OC)=C2)=CC=C1O,Curcumin sulfate
DB15965, ,Naxitamab
DB14632,[H][C@@]12CC[C@](O)(C(=O)COC(=O)CC(C)(C)C)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,Prednisolone tebutate
DB15964,OC1=CC=C(\C=N\NC(=O)C2=CC3=C(C=CC=C3)C=C2O)C=C1O,Dynasore
DB13302, ,Hachimycin
DB14633,[H][C@@]12CC[C@](O)(C(=O)COC(=O)CCC(O)=O)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,Prednisolone hemisuccinate
DB15963,NC(=O)CCCCC1CCSS1,Thioctamide
DB13307,[H][C@@]1(CC[C@]2(O)[C@]3([H])CCC4=C[C@]([H])(CC[C@]4(C)[C@@]3([H])CC[C@]12C)O[C@]1([H])O[C@@]([H])(C)[C@]([H])(O)[C@@]([H])(O)[C@@]1([H])O)C1=COC(=O)C=C1,Proscillaridin
DB14638,CN(C(=O)C(Cl)Cl)C1=CC=C(OC(=O)C2=CC=CO2)C=C1,Diloxanide furoate
DB13308,COC1=CC=C2N(C(=O)C3=CC=C(Cl)C=C3)C(C)=C(CC(=O)NO)C2=C1,Oxametacin
DB14639,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@@H]2OC(=O)CCCCCCCCC=C,Boldenone undecylenate
DB15969,CN1C(CC2=C\C(=N\NC(N)=O)C(=O)C=C12)S(O)(=O)=O,Carbazochrome sulfonic acid
DB13305,CN(C)CCC(C1=CC=CC=C1)C1=CC=C(C)C=C1,Tolpropamine
DB14636,CN1N=C(N)C2=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C3=C2C1=NC=N3,Triciribine phosphate
DB15968,CCCCOC1=CC=C(C[N+]2(C)[C@H]3CC[C@@H]2C[C@@H](C3)OC(=O)[C@H](CO)C2=CC=CC=C2)C=C1,Butropium
DB13306,CC1=NC2=C(C=C1)C(Cl)=CC(Cl)=C2O,Chlorquinaldol
DB14637,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]12C,Fluprednisolone acetate
DB15967,OS(=O)(=O)CC(S)CS,"2,3-Dimercapto-1-propanesulfonic acid"
DB13309,CC(COC1=CC=CC=C1CC1=CC=CC=C1)N1CCCCC1,Benproperine
DB01321,CO[C@H]1[C@@H](CC(=O)O[C@H](C)C\C=C\C=C\[C@H](O)[C@H](C)C[C@H](CC=O)[C@@H]1O[C@@H]1O[C@H](C)[C@@H](O[C@H]2C[C@@](C)(O)[C@@H](OC(=O)CC(C)C)[C@H](C)O2)[C@@H]([C@H]1O)N(C)C)OC(C)=O,Josamycin
DB02652,[H]N(O)C(=O)N([H])[C@@H](CC1=CC=CC=C1)C(O)=O,L-[(N-Hydroxyamino)Carbonyl]Phenylalanine
DB03984,[H][C@@](CSCC1=CC=CC=C1)(NC(=O)[C@]([H])(CC1=CC=CC=C1)NC(=O)N1CCOCC1)C=O,Morpholine-4-Carboxylic Acid [1-(2-Benzylsulfanyl-1-Formyl-Ethylcarbamoyl)-2-Phenyl-Ethyl]-Amide
DB01320,OP(O)(=O)OCN1C(=O)NC(C1=O)(C1=CC=CC=C1)C1=CC=CC=C1,Fosphenytoin
DB02651,OP(O)(=O)C(F)(F)C1=CC=C(CC(CC2=CC=C(C=C2)C(F)(F)P(O)(O)=O)(N2N=NC3=C2C=CC=C3)C2=CC=C(F)C(F)=C2)C=C1,"{[2-(1h-1,2,3-Benzotriazol-1-Yl)-2-(3,4-Difluorophenyl)Propane-1,3-Diyl]Bis[4,1-Phenylene(Difluoromethylene)]}Bis(Phosphonic Acid)"
DB03985,C[N@@H+](CCC=C(C)C)[C@H]1CCC(C)=CC1,R-azabisabolene
DB02650,[H]C(=O)C(Cl)(Cl)Cl,Trichloroacetaldehyde
DB03986,[H][C@]1(O[C@H](CO)[C@@H](O)[C@H]1O)C1=C2N=C[N+](C)=C(N)C2=NN1,6-methyl-formycin A
DB03987,COC1=CC(OC)=CC(CN(C)C2=CN=C3N=C(N)N=C(N)C3=C2)=C1,"2,4-Diamino-6-[N-(3',5'-Dimethoxybenzyl)-N-Methylamino]Pyrido[2,3-D]Pyrimidine"
DB01325,CCC1NC(=O)C2=CC(=C(Cl)C=C2N1)S(N)(=O)=O,Quinethazone
DB02656,O=C1C=C(OC2=C1C=CC=C2C1=CC=CC=C1)N1CCOCC1,LY-294002
DB03980,NC1=NC(=CC=N1)C1=C(N=CN1CC1CC1)C1=CC=C(F)C=C1,4-(Fluorophenyl)-1-Cyclopropylmethyl-5-(2-Amino-4-Pyrimidinyl)Imidazole
DB01324,CN1C(CSCC(F)(F)F)NC2=CC(Cl)=C(C=C2S1(=O)=O)S(N)(=O)=O,Polythiazide
DB02655,N[C@H](CC(O)=O)C(O)=O,D-Aspartic Acid
DB03981,[H][C@@]1(O)OC(=C[C@]([H])(O)[C@@]1([H])OS(O)(=O)=O)C(O)=O,"1,4-Dideoxy-5-Dehydro-O2-Sulfo-Glucuronic Acid"
DB01323, ,St. John's Wort
DB02654,CC1=CC2=C(N=C3C(=O)NC(=O)N=C3N2C[C@H](O)[C@H](O)[C@H](O)COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)C(O)=C1C,6-hydroxy-FAD
DB03982,OC(=O)C(=O)N(C1=CC=CC=C1C(O)=O)C1=CC=CC2=C1C=CC=C2,"Compound 5, 2-(Naphthalen-1-Yl-Oxalyl-Amino)-Benzoicacid"
DB01322,COC1=CC(=O)OC(C1)\C=C\C1=CCCC=C1,Kava
DB03983,NC1=NC2=C(N[C@@H]3[C@H](N2)O[C@@H](COP(O)(O)=O)C2=C3S[Mo](S)(=O)(=O)S2)C(=O)N1,"{[2-Amino-4-oxo-6,7-di(sulfanyl-κS)-3,5,5a,8,9a,10-hexahydro-4H-pyrano[3,2-g]pteridin-8-yl]methyl dihydrogenato(2-) phosphate}(dioxo)sulfanylmolybdenum"
DB01329,[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@@]2([H])NC(=O)[C@H](NC(=O)N1CCN(CC)C(=O)C1=O)C1=CC=C(O)C=C1)C(O)=O,Cefoperazone
DB01328,[H][C@]12SCC(CSC3=NN=NN3CS(O)(=O)=O)=C(N1C(=O)[C@H]2NC(=O)[C@H](O)C1=CC=CC=C1)C(O)=O,Cefonicid
DB02659,[H][C@@](C)(CCC(O)=O)[C@@]1([H])CC[C@@]2([H])[C@]3([H])[C@]([H])(O)C[C@]4([H])C[C@]([H])(O)CC[C@]4(C)[C@@]3([H])C[C@]([H])(O)[C@]12C,Cholic Acid
DB01327,[H][C@]12SCC(CSC3=NN=C(C)S3)=C(N1C(=O)[C@H]2NC(=O)CN1C=NN=N1)C(O)=O,Cefazolin
DB02658,[H][C@]1(CO)O[C@@]([H])(OC2=C(C=C(C=C2)[N+]([O-])=O)[N+]([O-])=O)[C@]([H])(F)[C@@]([H])(O)[C@]1([H])O,"2,4-Dinitrophenyl 2-Deoxy-2-Fluoro-Beta-D-Allopyranoside"
DB01326,[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)[C@H](O)C1=CC=CC=C1)C(O)=O,Cefamandole
DB02657,N[C@H]1[C@@H](O)O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H]1O,Glucosamine 6-Phosphate
DB03988,N[C@@H](CCCC[NH3+])C(N)=O,"2,6-Diamino-Hexanoic Acid Amide"
DB03989,OC[C@H]1OC(O)[C@H](O)[C@H](O)[C@@H]1O,D-Allopyranose
DB13310,[H][C@@]1(C2=CC=C(OCCN3CCCC3)C=C2)C2=C(OC(C)(C)[C@@]1([H])C1=CC=CC=C1)C=C(OC)C=C2,Ormeloxifene
DB14641,[H][C@]1(C[C@@]2([H])[C@]3([H])CCC4=CC(OC(=O)CC)=CC=C4[C@@]3([H])CC[C@]2(C)[C@@]1([H])OC(=O)CC)OC(=O)CC,Estriol tripropionate
DB15973,[H]O[C@@H]1CC[C@@]2(C)[C@@]([H])(C1)C[C@@H](O[H])[C@@]1([H])[C@]3([H])CC[C@]([H])([C@H](C)C[Se]CC(=O)N([H])CCS(=O)(=O)O[H])[C@@]3(C)[C@@H](O[H])C[C@]21[H],Tauroselcholic acid
DB13311,CCOC1=CC(OCC)=C(OCC)C=C1C(=O)CCC(O)=O,Trepibutone
DB14642,[H]N([H])C(=O)C[C@]1([H])NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)[C@@H](N)CSSC[C@H](NC1=O)C(=O)N1CCC[C@H]1C(=O)NC([H])(CCCCN)C(=O)NCC(N)=O,Lypressin
DB15972, ,Desoxycortone
DB15971,CN1CCN(CC1)C1CC2=CC=CC=C2SC2=C1C=C(Cl)C=C2,Clorotepine
DB14640,[H][C@@]12CC[C@](O)(C(=O)COC(C)=O)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,Isoflupredone acetate
DB15970,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])C[C@H](Cl)C2=CC(=O)C=C[C@]12C,Chloroprednisone
DB13314,CC(C(O)=O)C1=CC=C(NCC(C)=C)C=C1,Alminoprofen
DB14645,ClN(Cl)Cl,Nitrogen trichloride
DB15977,CC1=CC(=O)[C@@H]2C[C@H]1C2(C)C,Verbenone
DB13315,CC1=CC[C@H](C[C@@H]1O)C(C)(C)O,Sobrerol
DB14646,[H][C@@]12CC[C@](O)(C(=O)COC(C)=O)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,Prednisone acetate
DB15976,COCCOC1=C(OC)C=C(CC2=C(N)N=C(N)N=C2)C=C1OC,Tetroxoprim
DB13312,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N(CC(O)=O)C1CC2=C(C1)C=CC=C2,Delapril
DB14643,[H][C@@]12CC[C@](OC(=O)CC)(C(=O)COC(C)=O)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)C=C[C@]12C,Methylprednisolone aceponate
DB15975,COC1=NSN=C1NS(=O)(=O)C1=CC=C(N)C=C1,Sulfametrole
DB13313,COC(=O)[C@@H](N)CC1=CC=C(O)C(O)=C1,Melevodopa
DB14644,[H][C@@]12CC[C@](O)(C(=O)COC(=O)CCC(O)=O)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)C=C[C@]12C,Methylprednisolone hemisuccinate
DB15974,[Na+].[Na+].[Na+].O=S1(=O)O[Au]2(OS(=O)(=O)S2)S1,Gold sodium thiosulfate
DB13318,[H][C@@]1(CCC2=CC(OC)=C(OC)C(OC)=C2C2=CC=C(OC)C(=O)C=C12)NC,Demecolcine
DB14649,[H][C@@]12C[C@@H](C)[C@](O)(C(=O)COC(C)=O)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,Dexamethasone acetate
DB13319,CCOC(=O)C(=C\C1=NC=C(N1C)[N+]([O-])=O)\C(C)=O,Propenidazole
DB13316,CNCCC1=CC(OC(=O)C(C)C)=C(OC(=O)C(C)C)C=C1,Ibopamine
DB14647,ClSSCl,Sulfur chloride
DB15979,CN1CCCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,Homochlorcyclizine
DB03990,[H][C@]1(CO)O[C@@]([H])(S[C@@]2([H])[C@]([H])(O)[C@@]([H])(CO)O[C@@]([H])(OC3([H])C([H])(O)C([H])(CO)OC([H])(OC4=CC=C(C=C4)N(=O)=O)C3([H])O)[C@]2([H])O)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O,4'-nitrophenyl-3i-thiolaminaritrioside
DB13317,C[C@H](C(O)=O)C1=CC=C2OC(=NC2=C1)C1=CC=C(F)C=C1,Flunoxaprofen
DB14648,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@H](CC(=O)O3)OC(C)=O)[C@@H]12,Acetyl simvastatin
DB15978,C(CN1C2=CC=CC=C2SC2=C1C=CC=C2)N1CCCC1,Parathiazine
DB01332,[H][C@]12SCC=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C(O)=O,Ceftizoxime
DB02663,C[P@@](O)(=O)CC[C@@H](N)C(O)=O,2-Amino-4-(Hydroxymethyl-Phosphinyl)Butanoic Acid
DB03995,[H][C@]1(CO)O[C@]2([H])O[C@]3([H])[C@@]([H])(CO)O[C@]([H])(O[C@]4([H])[C@@]([H])(CO)O[C@]([H])(O[C@]5([H])[C@@]([H])(CO)O[C@]([H])(O[C@]6([H])[C@@]([H])(CO)O[C@]([H])(O[C@]7([H])[C@@]([H])(CO)O[C@]([H])(O[C@]8([H])[C@@]([H])(CO)O[C@]([H])(O[C@@]1([H])[C@]([H])(O)[C@@]2([H])O)[C@]([H])(O)[C@@]8([H])O)[C@]([H])(O)[C@@]7([H])O)[C@]([H])(O)[C@@]6([H])O)[C@]([H])(O)[C@@]5([H])O)[C@]([H])(O)[C@@]4([H])O)[C@]([H])(O)[C@@]3([H])O,Betadex
DB00001, ,Lepirudin
DB01331,[H][C@]12SCC(COC(N)=O)=C(N1C(=O)[C@]2(NC(=O)CC1=CC=CS1)OC)C(O)=O,Cefoxitin
DB02662,OC(=O)C(=O)NC1=C(C=C(I)C=C1)C(O)=O,Novo Nordisk a/S Compound
DB03996,[H][C@]1(CC(=NN1C(C)=O)C1=C(Cl)C=CC=C1)C1=CC=CC(O)=C1,"3-[(5s)-1-Acetyl-3-(2-Chlorophenyl)-4,5-Dihydro-1h-Pyrazol-5-Yl]Phenol"
DB01330,[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@]2(NC(=O)C1SC(S1)=C(C(N)=O)C(O)=O)OC)C(O)=O,Cefotetan
DB02661,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@@H](CO[P@](O)(=O)OP(O)(O)=O)[C@H]2O[V](=O)(=O)O[C@H]12,"Adenosine-5'-diphosphate-2',3'-vanadate"
DB03997,N[C@H](COP(O)(O)=O)CC1=CNC=N1,L-histidinol phosphate
DB02660,COC1=CC=C(C=C1OC1CCCC1)C(\C)=N\OC(N)=O,Filaminast
DB03998,[H]\C(=C1\N=C(CN)N(CC(O)=O)C1=O)C1=CC=C(O)C=C1,"[2-(Methyleneamine)-4-(4-Hydroxy-Benzylidine)-5-Oxo-4,5-Dihydro-Imidazol-1-Yl]-Acetaldehyde"
DB00004, ,Denileukin diftitox
DB01336,[H][C@@]12CC3=CC=C(OC4=C5C(CC[N+](C)(C)[C@]5([H])CC5=CC(OC6=C(OC)C=C(CC[N+]1(C)C)C2=C6)=C(OC)C=C5)=CC(OC)=C4OC)C=C3,Metocurine
DB02667,COC1=CC=C2N(C=NC2=C1)[C@H]1O[C@H](CO)[C@@H](O[P@]([OH-])(=O)O[C@H](C)CNC(=O)CC[C@]2(C)[C@@H](CC(N)=O)C3=[N+]4C2=C(C)C2=[N+]5C(=CC6=[N+]7C(=C(C)C8=[N+]([C@]3(C)[C@@](C)(CC(N)=O)[C@@H]8CCC(N)=O)[Co@@]457)[C@@](C)(CC(N)=O)[C@@H]6CCC(N)=O)C(C)(C)[C@@H]2CCC(N)=O)[C@H]1O,Factor IIIm
DB03991,[H][C@]1(OC(=C[C@H](O)[C@H]1NC(C)=O)C(O)=O)[C@H](O)[C@H](O)CO,"2-deoxy-2,3-dehydro-N-acetylneuraminic acid"
DB00005, ,Etanercept
DB02666,[H]N1C(=O)N(CCC[C@@H](N(O)CO)C(O)=O)C(=O)[C@]11O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O,(C8-R)-hydantocidin 5'-phosphate
DB03992,N[C@@H](CNC(=O)C1=CC=CC=C1)C(O)=O,3-(Benzoylamino)-L-Alanine
DB00002, ,Cetuximab
DB02665,[NH3+][C@@H]1C[C@H]1C1=CC=CC=C1,"(1R,2S)-2-Phenylcyclopropanaminium"
DB03993,CC(C)CCC(O)=O,Isocaproic acid
DB00003, ,Dornase alfa
DB01333,[H][C@]12SCC(C)=C(N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CCC=CC1)C(O)=O,Cefradine
DB02664,CCCCB(O)O,1-Butane Boronic Acid
DB03994, ,Ethanolamine
DB00008, ,Peginterferon alfa-2a
DB00009, ,Alteplase
DB01339,[H][C@@]12C[C@@H]([C@H](OC(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](OC(C)=O)[C@H](C[C@]12C)N1CCCCC1)[N+]1(C)CCCCC1,Vecuronium
